ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,promotion,promotion_lower,promotion_upper,temperature_c,temperature_c_lower,temperature_c_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,341.28024,339.9204634575379,374.809454534943,341.28024,341.28024,15.470552693552593,15.470552693552593,15.470552693552593,-13.838801759999999,-13.838801759999999,-13.838801759999999,52.60969357432586,52.60969357432586,52.60969357432586,49.21002000000001,49.21002000000001,49.21002000000001,3.3996735743258477,3.3996735743258477,3.3996735743258477,-2.739745868280795,-2.739745868280795,-2.739745868280795,-20.56059325249246,-20.56059325249246,-20.56059325249246,0.0,0.0,0.0,356.75079269355257
2024-01-02,340.9273024309392,293.3763602072887,328.5449242448661,340.9273024309392,340.9273024309392,-29.954936650763,-29.954936650763,-29.954936650763,-13.838801759999999,-13.838801759999999,-13.838801759999999,3.3996735743258477,3.3996735743258477,3.3996735743258477,0.0,0.0,0.0,3.3996735743258477,3.3996735743258477,3.3996735743258477,2.334512037497494,2.334512037497494,2.334512037497494,-21.85032050258634,-21.85032050258634,-21.85032050258634,0.0,0.0,0.0,310.97236578017623
2024-01-03,340.57436486187845,287.63415105709726,322.832014919673,340.57436486187845,340.57436486187845,-36.203914757658154,-36.203914757658154,-36.203914757658154,-13.838801759999999,-13.838801759999999,-13.838801759999999,3.841525936044942,3.841525936044942,3.841525936044942,0.0,0.0,0.0,3.841525936044942,3.841525936044942,3.841525936044942,-3.271176281247513,-3.271176281247513,-3.271176281247513,-22.935462652455584,-22.935462652455584,-22.935462652455584,0.0,0.0,0.0,304.3704501042203
2024-01-04,340.2214272928177,291.57036179634133,326.6738433758162,340.2214272928177,340.2214272928177,-30.807179351559213,-30.807179351559213,-30.807179351559213,-13.838801759999999,-13.838801759999999,-13.838801759999999,4.872514780056158,4.872514780056158,4.872514780056158,0.0,0.0,0.0,4.872514780056158,4.872514780056158,4.872514780056158,1.9639375439940208,1.9639375439940208,1.9639375439940208,-23.804829915609393,-23.804829915609393,-23.804829915609393,0.0,0.0,0.0,309.41424794125845
2024-01-05,339.8684897237569,286.3729960827698,321.41455450220747,339.8684897237569,339.8684897237569,-36.036233311820126,-36.036233311820126,-36.036233311820126,-13.838801759999999,-13.838801759999999,-13.838801759999999,3.9888100566179694,3.9888100566179694,3.9888100566179694,0.0,0.0,0.0,3.9888100566179694,3.9888100566179694,3.9888100566179694,-1.7344402375115007,-1.7344402375115007,-1.7344402375115007,-24.451801370926596,-24.451801370926596,-24.451801370926596,0.0,0.0,0.0,303.8322564119368
2024-01-06,339.51555215469614,287.1208839372598,321.5724620735577,339.51555215469614,339.51555215469614,-35.12771954954511,-35.12771954954511,-35.12771954954511,-13.838801759999999,-13.838801759999999,-13.838801759999999,2.3686847303146306,2.3686847303146306,2.3686847303146306,0.0,0.0,0.0,2.3686847303146306,2.3686847303146306,2.3686847303146306,1.2167560102846775,1.2167560102846775,1.2167560102846775,-24.874358530144427,-24.874358530144427,-24.874358530144427,0.0,0.0,0.0,304.387832605151
2024-01-07,339.16261458563537,289.9562937001225,326.31070149382725,339.16261458563537,339.16261458563537,-30.485585712678525,-30.485585712678525,-30.485585712678525,-13.838801759999999,-13.838801759999999,-13.838801759999999,6.1980718652134374,6.1980718652134374,6.1980718652134374,0.0,0.0,0.0,6.1980718652134374,6.1980718652134374,6.1980718652134374,2.230156795282541,2.230156795282541,2.230156795282541,-25.075012613174508,-25.075012613174508,-25.075012613174508,0.0,0.0,0.0,308.67702887295684
2024-01-08,338.8096770171898,284.8890601564097,319.5501698245422,338.8096770171898,338.8096770171898,-36.766662976541525,-36.766662976541525,-36.766662976541525,-13.838801759999999,-13.838801759999999,-13.838801759999999,4.872514780056158,4.872514780056158,4.872514780056158,0.0,0.0,0.0,4.872514780056158,4.872514780056158,4.872514780056158,-2.739745868280462,-2.739745868280462,-2.739745868280462,-25.060630128317218,-25.060630128317218,-25.060630128317218,0.0,0.0,0.0,302.0430140406483
2024-01-09,338.45673944874426,295.2765073221732,330.1313911926507,338.45673944874426,338.45673944874426,-25.72985801884955,-25.72985801884955,-25.72985801884955,-13.838801759999999,-13.838801759999999,-13.838801759999999,10.616595482404371,10.616595482404371,10.616595482404371,0.0,0.0,0.0,10.616595482404371,10.616595482404371,10.616595482404371,2.334512037499216,2.334512037499216,2.334512037499216,-24.84216377875314,-24.84216377875314,-24.84216377875314,0.0,0.0,0.0,312.7268814298947
2024-01-10,338.1038018802987,288.37092188522035,322.4339547839366,338.1038018802987,338.1038018802987,-33.284226383642554,-33.284226383642554,-33.284226383642554,-13.838801759999999,-13.838801759999999,-13.838801759999999,8.260049553235875,8.260049553235875,8.260049553235875,0.0,0.0,0.0,8.260049553235875,8.260049553235875,8.260049553235875,-3.2711762812425302,-3.2711762812425302,-3.2711762812425302,-24.434297895635904,-24.434297895635904,-24.434297895635904,0.0,0.0,0.0,304.81957549665617
